best_uci,collapse_best_bits,collapse_deep_alt_bits,collapse_greedy_bits,collapse_key_bits,collapse_random_bits,deep_alt_uci,greedy_uci,key_uci,kind,local_cost_best,local_cost_deep_alt,local_cost_greedy,local_cost_key,local_cost_random,p_win_base,p_win_best,p_win_deep_alt,p_win_greedy,p_win_key,p_win_random,potential_bits,puzzle_id,random_uci,rating,specificity_js_bits,themes,useful_shift_best,useful_shift_deep_alt,useful_shift_greedy,useful_shift_key,useful_shift_random
,,0.0,0.0,0.0,0.0,d6d3,d6d3,c7d7,sacrifice,,-5.0,-5.0,0.0,-5.0,1.0,,0.0,0.0,1.0,0.0,-0.0,02LtX,d6d3,1820,0.9999999999985575,exposedKing long mate mateIn3 middlegame pillsburysMate sacrifice,,-1.0,-1.0,0.0,-1.0
,,-1.0720809548839212,-1.5596860514952977,0.0,0.0,h6f7,h6f7,f1f8,sacrifice,,-3.0,-3.0,4.0,-5.0,1.0,,0.21875,0.21875,1.0,0.0,-0.0,01oma,g1h1,1985,0.5862624674794253,kingsideAttack long mate mateIn3 middlegame sacrifice smotheredMate,,-0.78125,-0.78125,0.0,-1.0
,,-1.2372983448152632,-1.373689844084022,0.0,-0.20062232431271465,c2c4,c2e2,c2d2,sacrifice,,-3.0,-3.0,-3.0,-4.0,1.0,,0.0,0.03125,1.0,0.0,-0.0,00Wyh,e4c5,1846,0.9999999999963933,endgame mate mateIn2 sacrifice short,,-1.0,-0.96875,0.0,-1.0
,,-0.973397117295888,-1.6136841496927703,0.0,-0.3372900666170139,d8e8,d8e8,c2f2,sacrifice,,0.0,0.0,-8.0,-13.0,1.0,,0.125,0.125,1.0,0.0625,-0.0,01FmQ,g7g6,1806,0.7169171866872567,long mate mateIn3 middlegame pin sacrifice,,-0.875,-0.875,0.0,-0.9375
,,-0.7310644431995964,-0.20062232431271465,0.0,0.0,c1c2,c1c2,c7d6,sacrifice,,0.0,0.0,0.0,0.0,1.0,,0.03125,0.03125,1.0,0.0,-0.0,03JMe,g1f1,1999,0.8989842822036335,attraction long mate mateIn3 middlegame sacrifice,,-0.96875,-0.96875,0.0,-1.0
,,-1.5435644431995963,-1.6896905092405703,0.0,-0.20062232431271465,e1f1,e1f1,g6f8,sacrifice,,0.0,0.0,0.0,-13.0,1.0,,0.4375,0.15625,1.0,0.03125,-0.0,00vuv,f5f3,2062,0.3627987332819589,discoveredCheck doubleCheck long mate mateIn3 middlegame sacrifice,,-0.5625,-0.84375,0.0,-0.96875
,,-1.3244602933016414,-1.5538146570363986,0.0,-0.8394734356069651,d2d3,d2d3,g3g2,sacrifice,,-3.0,-3.0,-8.0,-9.0,1.0,,0.6875,0.5625,1.0,0.09375,-0.0,024nn,g3f2,2314,0.17724328895398028,kingsideAttack mate mateIn2 middlegame sacrifice short xRayAttack,,-0.3125,-0.4375,0.0,-0.90625
,,-1.6992840955380735,-1.291100274797962,0.0,-0.6685644431995964,g5f3,g5f3,h5h6,sacrifice,,-1.0,-1.0,-8.0,1.0,1.0,,0.375,0.3125,1.0,0.0625,-0.0,01faz,c4a6,1804,0.41882123106918956,kingsideAttack mate mateIn2 middlegame pillsburysMate sacrifice short,,-0.625,-0.6875,0.0,-0.9375
,,-1.2015093751988053,-1.5939514568588302,0.0,-0.5349547231656377,d7b7,d7b7,d7d8,sacrifice,,1.0,1.0,-4.0,0.0,1.0,,0.03125,0.125,1.0,0.0625,-0.0,03lYP,e1e3,1807,0.8989842822036336,mate mateIn2 middlegame operaMate sacrifice short,,-0.96875,-0.875,0.0,-0.9375
,,-1.778831049386756,-2.1020341619085974,0.0,-0.3997900666170139,h1g1,h1g1,a6a7,sacrifice,,0.0,0.0,0.0,0.0,1.0,,0.375,0.1875,1.0,0.03125,-0.0,00LRq,g2g4,2253,0.41882123106918956,advancedPawn discoveredCheck doubleCheck mate mateIn4 middlegame promotion queensideAttack sacrifice veryLong,,-0.625,-0.8125,0.0,-0.96875
