best_uci,collapse_best_bits,collapse_deep_alt_bits,collapse_greedy_bits,collapse_key_bits,collapse_random_bits,deep_alt_uci,greedy_uci,key_uci,kind,local_cost_best,local_cost_deep_alt,local_cost_greedy,local_cost_key,local_cost_random,p_win_base,p_win_best,p_win_deep_alt,p_win_greedy,p_win_key,p_win_random,potential_bits,puzzle_id,random_uci,rating,specificity_js_bits,themes,useful_shift_best,useful_shift_deep_alt,useful_shift_greedy,useful_shift_key,useful_shift_random
b4b1,-0.35553133843604456,,,,,,,,quiet,-6.0,,,,,0.4375,0.5,,,,,1.4404272549083053,00HoG,,1499,,mate mateIn1 middlegame oneMove,0.0625,,,,
b6b5,0.18433140023173777,,,,,,,,quiet,0.0,,,,,0.125,0.0625,,,,,2.0558437684823567,0068B,,1426,,crushing deflection middlegame short,-0.0625,,,,
d6b7,0.09761528637177963,,,,,,,,quiet,-5.0,,,,,0.34375,0.25,,,,,2.055170085237678,006RM,,1445,,crushing long middlegame,-0.09375,,,,
,,-0.39060894688393566,-0.610622863015467,0.24824216441031477,-0.08609023444260833,c2c4,c2e2,c2d2,sacrifice,,-3.0,-3.0,-3.0,-4.0,0.90625,,0.03125,0.03125,0.96875,0.0,0.4488644887230294,00Wyh,e4c5,1846,0.8024392244172116,endgame mate mateIn2 sacrifice short,,-0.875,-0.875,0.0625,-0.90625
d5d4,0.41310252965230077,,,,,,,,quiet,0.0,,,,,0.28125,0.28125,,,,,2.291615921862549,003jb,,963,,crushing fork master middlegame short,0.0,,,,
f6e5,0.17459503634987028,,,,,,,,quiet,-1.0,,,,,0.5625,0.59375,,,,,1.5517855455904406,00Ezc,,1982,,crushing middlegame short,0.03125,,,,
g4f3,-0.1438773655378398,,,,,,,,quiet,0.0,,,,,0.125,0.3125,,,,,2.1155074211313076,002KJ,,1615,,crushing discoveredAttack middlegame short,0.1875,,,,
,,-1.5293008334549252,-1.5816801702550394,-0.3343323988529231,-1.109433924605551,h1g1,h1g1,a6a7,sacrifice,,0.0,0.0,0.0,0.0,0.96875,,0.28125,0.40625,0.90625,0.375,0.20062232431271465,00LRq,g2g4,2253,0.38426386398290263,advancedPawn discoveredCheck doubleCheck mate mateIn4 middlegame promotion queensideAttack sacrifice veryLong,,-0.6875,-0.5625,-0.0625,-0.59375
,,-0.9311657034512243,-0.6032177784002016,0.3312743765825825,-0.8201197064931739,b8h8,b8h8,c6b4,sacrifice,,-3.0,-3.0,-3.0,-5.0,0.875,,0.34375,0.4375,0.9375,0.21875,0.7310644431995964,005wy,b8g8,2031,0.3260758231990587,long mate mateIn3 middlegame queensideAttack sacrifice,,-0.53125,-0.4375,0.0625,-0.65625
,,-0.2400036710479274,-0.5401316410982586,0.04346657980851498,-0.30148049526386167,c8b8,c8b8,b6c5,sacrifice,,0.0,0.0,-2.0,-5.0,0.5625,,0.3125,0.34375,0.65625,0.21875,1.4652375677821285,001xO,e7f5,1876,0.20152462957764894,crushing master masterVsMaster middlegame sacrifice short,,-0.25,-0.21875,0.09375,-0.34375
,,-0.37817484414843583,-0.39480199963716944,0.7926871890376243,-0.0625,a2a3,a2a3,g3g6,sacrifice,,0.0,0.0,-4.0,-9.0,0.28125,,0.21875,0.1875,0.0625,0.28125,1.4612516322372207,005f3,c3c4,1903,0.1339343940786949,crushing endgame sacrifice veryLong,,-0.0625,-0.09375,-0.21875,0.0
,,-0.455172833266033,-0.3314856163641564,-0.17331189549559944,0.30837796849457544,b3b2,b3b2,a5a4,sacrifice,,0.0,0.0,0.0,0.0,0.6875,,0.625,0.4375,0.625,0.0625,1.1714416385441488,00WoW,f7f5,2158,0.041888337202661496,advancedPawn advantage endgame long master quietMove sacrifice,,-0.0625,-0.25,-0.0625,-0.625
,,0.2833878636378795,0.6819806296225155,0.4788517195294735,0.16665856696570458,d7g4,d7g4,d7h3,sacrifice,,-9.0,-9.0,-4.0,0.0,0.375,,0.21875,0.0,0.46875,0.21875,1.9192789744377787,00UQj,f7f6,2372,0.07850496672168356,advancedPawn crushing master middlegame sacrifice short,,-0.15625,-0.375,0.09375,-0.15625
,,0.2934735356423399,0.12884228301294098,0.46827441199963094,0.4298802935068262,f5e6,f5e6,b4b8,sacrifice,,0.0,0.0,0.0,-3.0,0.4375,,0.21875,0.28125,0.5625,0.15625,2.06019159868833,00P81,c2d3,2245,0.2554000500471567,advancedPawn crushing discoveredAttack discoveredCheck endgame long sacrifice,,-0.21875,-0.15625,0.125,-0.28125
,,0.3477661823012519,0.29183439328355143,-0.21652459041938465,1.0074634674227343,a5a4,a5a4,a5d5,sacrifice,,-5.0,-5.0,-5.0,-5.0,0.625,,0.125,0.1875,0.5,0.03125,1.4072535340397483,00CXr,f7c4,1908,0.2667456532331487,advantage long middlegame sacrifice,,-0.5,-0.4375,-0.125,-0.59375
,,-0.4109281748779039,-0.26414595327810564,0.0769208937755752,0.45187193324756925,h6f5,h6f5,h6f7,sacrifice,,0.0,-1.0,-3.0,-1.0,0.53125,,0.4375,0.5,0.625,0.09375,1.4216744278153235,008LT,h1e1,2188,0.05316453312363896,crushing kingsideAttack middlegame pin sacrifice short,,-0.09375,-0.03125,0.09375,-0.4375
,,-0.12738344866601015,-0.2726795923918657,0.41736516611867924,1.0610043773479914,h7f6,h7g5,d8d1,sacrifice,,0.0,0.0,-5.0,-9.0,0.40625,,0.3125,0.34375,0.59375,0.09375,1.7059785861049794,004Op,c6e4,2253,0.09764088148732986,crushing deflection kingsideAttack middlegame pin sacrifice skewer veryLong,,-0.09375,-0.0625,0.1875,-0.3125
,,0.27567199439656,0.14181515376679177,0.2149325174555492,-0.2189889432378136,d2e4,d2e4,f3e4,sacrifice,,-2.0,-2.0,0.0,0.0,0.4375,,0.4375,0.40625,0.5625,0.21875,1.9816505805015394,00UI2,d2b1,2090,0.03804914577221451,clearance crushing fork middlegame sacrifice veryLong,,0.0,-0.03125,0.125,-0.21875
