regime,t,utility,guidance,stability,nondecomposable,p_selfish,p_direct_team,p_trigger_success,p_noise
ordinary_gradual,0.0,0.45,0.75,0.8,0.25,0.25,0.25,0.25,0.25
ordinary_gradual,1.0,0.45316455696202534,0.75,0.8,0.25,0.24708860759493673,0.2582278481012658,0.24734177215189876,0.24734177215189876
ordinary_gradual,2.0,0.4563291139240506,0.75,0.8,0.25,0.24417721518987343,0.2664556962025316,0.24468354430379746,0.24468354430379746
ordinary_gradual,3.0,0.45949367088607596,0.75,0.8,0.25,0.24126582278481012,0.2746835443037975,0.24202531645569622,0.24202531645569622
ordinary_gradual,4.0,0.4626582278481013,0.75,0.8,0.25,0.23835443037974682,0.2829113924050633,0.23936708860759492,0.23936708860759492
ordinary_gradual,5.0,0.4658227848101266,0.75,0.8,0.25,0.23544303797468355,0.2911392405063291,0.23670886075949368,0.23670886075949368
ordinary_gradual,6.0,0.4689873417721519,0.75,0.8,0.25,0.23253164556962028,0.299367088607595,0.23405063291139241,0.23405063291139241
ordinary_gradual,7.0,0.47215189873417723,0.75,0.8,0.25,0.22962025316455695,0.30759493670886073,0.23139240506329115,0.23139240506329115
ordinary_gradual,8.0,0.47531645569620257,0.75,0.8,0.25,0.22670886075949367,0.3158227848101266,0.22873417721518988,0.22873417721518988
ordinary_gradual,9.0,0.47848101265822784,0.75,0.8,0.25,0.2237974683544304,0.3240506329113924,0.22607594936708864,0.22607594936708864
ordinary_gradual,10.0,0.4816455696202532,0.75,0.8,0.25,0.2208860759493671,0.3322784810126582,0.22341772151898734,0.22341772151898734
ordinary_gradual,11.0,0.4848101265822785,0.75,0.8,0.25,0.2179746835443038,0.3405063291139241,0.2207594936708861,0.2207594936708861
ordinary_gradual,12.0,0.4879746835443038,0.75,0.8,0.25,0.2150632911392405,0.34873417721518984,0.2181012658227848,0.2181012658227848
ordinary_gradual,13.0,0.4911392405063291,0.75,0.8,0.25,0.21215189873417722,0.3569620253164557,0.21544303797468356,0.21544303797468356
ordinary_gradual,14.0,0.49430379746835446,0.75,0.8,0.25,0.20924050632911392,0.3651898734177215,0.21278481012658226,0.21278481012658226
ordinary_gradual,15.0,0.49746835443037973,0.75,0.8,0.25,0.20632911392405062,0.37341772151898733,0.21012658227848102,0.21012658227848102
ordinary_gradual,16.0,0.5006329113924051,0.75,0.8,0.25,0.20341772151898735,0.3816455696202532,0.20746835443037975,0.20746835443037975
ordinary_gradual,17.0,0.5037974683544304,0.75,0.8,0.25,0.20050632911392405,0.38987341772151896,0.20481012658227848,0.20481012658227848
ordinary_gradual,18.0,0.5069620253164557,0.75,0.8,0.25,0.19759493670886077,0.3981012658227848,0.20215189873417722,0.20215189873417722
ordinary_gradual,19.0,0.5101265822784811,0.75,0.8,0.25,0.19468354430379747,0.4063291139240507,0.19949367088607597,0.19949367088607597
ordinary_gradual,20.0,0.5132911392405064,0.75,0.8,0.25,0.19177215189873417,0.41455696202531644,0.19683544303797468,0.19683544303797468
ordinary_gradual,21.0,0.5164556962025316,0.75,0.8,0.25,0.1888607594936709,0.42278481012658226,0.1941772151898734,0.1941772151898734
ordinary_gradual,22.0,0.519620253164557,0.75,0.8,0.25,0.18594936708860763,0.4310126582278481,0.19151898734177217,0.19151898734177217
ordinary_gradual,23.0,0.5227848101265823,0.75,0.8,0.25,0.1830379746835443,0.43924050632911393,0.1888607594936709,0.1888607594936709
ordinary_gradual,24.0,0.5259493670886076,0.75,0.8,0.25,0.180126582278481,0.44746835443037974,0.1862025316455696,0.1862025316455696
ordinary_gradual,25.0,0.529113924050633,0.75,0.8,0.25,0.17721518987341772,0.45569620253164556,0.18354430379746836,0.18354430379746836
ordinary_gradual,26.0,0.5322784810126582,0.75,0.8,0.25,0.17430379746835445,0.46392405063291137,0.1808860759493671,0.1808860759493671
ordinary_gradual,27.0,0.5354430379746835,0.75,0.8,0.25,0.17139240506329112,0.4721518987341772,0.17822784810126582,0.17822784810126582
