controller,episode,t,p_decoy,p_threat,p_fragile,entropy,entropy_norm,role_collapse_kl,non_decoy_rate,useful_nondecoy_consensus,decoy_trap_consensus
nearest_only,0,0,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,0,1,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,0,2,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,0,3,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,0,4,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,0,5,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,0,6,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,0,7,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,0,8,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,0,9,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,0,10,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,0,11,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,0,12,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,0,13,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,0,14,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,0,15,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,0,16,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,0,17,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,0,18,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,0,19,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,0,20,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,0,21,0.0,0.0,1.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,1.0,1.0000000000009104,0.0
nearest_only,0,22,0.0,0.0,1.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,1.0,1.0000000000009104,0.0
nearest_only,0,23,0.0,0.0,1.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,1.0,1.0000000000009104,0.0
nearest_only,0,24,0.0,0.0,1.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,1.0,1.0000000000009104,0.0
nearest_only,1,0,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,1,1,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,1,2,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,1,3,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,1,4,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,1,5,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,1,6,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,1,7,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,1,8,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,1,9,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,1,10,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,1,11,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,1,12,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,1,13,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,1,14,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,1,15,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,1,16,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,1,17,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,1,18,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,1,19,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,1,20,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,1,21,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,1,22,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,1,23,0.0,1.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,1.0,1.0000000000009104,0.0
nearest_only,1,24,0.0,1.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,1.0,1.0000000000009104,0.0
nearest_only,2,0,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,2,1,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,2,2,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,2,3,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,2,4,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,2,5,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,2,6,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,2,7,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,2,8,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,2,9,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,2,10,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,2,11,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,2,12,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,2,13,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,2,14,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,2,15,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,2,16,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,2,17,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,2,18,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,2,19,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,2,20,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,2,21,0.0,1.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,1.0,1.0000000000009104,0.0
nearest_only,2,22,0.0,1.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,1.0,1.0000000000009104,0.0
nearest_only,2,23,0.0,1.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,1.0,1.0000000000009104,0.0
nearest_only,2,24,0.0,1.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,1.0,1.0000000000009104,0.0
nearest_only,3,0,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,3,1,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,3,2,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,3,3,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,3,4,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,3,5,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,3,6,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,3,7,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,3,8,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,3,9,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,3,10,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,3,11,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,3,12,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,3,13,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,3,14,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,3,15,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,3,16,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,3,17,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,3,18,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,3,19,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,3,20,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,3,21,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,3,22,0.0,1.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,1.0,1.0000000000009104,0.0
nearest_only,3,23,0.0,1.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,1.0,1.0000000000009104,0.0
nearest_only,3,24,0.0,1.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,1.0,1.0000000000009104,0.0
nearest_only,4,0,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,4,1,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,4,2,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,4,3,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,4,4,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,4,5,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,4,6,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,4,7,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,4,8,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,4,9,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,4,10,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,4,11,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,4,12,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
nearest_only,4,13,1.0,0.0,0.0,-1.4428232973175177e-12,-9.103201474236991e-13,1.5849625007182713,0.0,0.0,1.0000000000009104
