system,prespecified,h0_bits,natural_trigger_rate,passive_trigger_rate,aggressive_trigger_rate,selectivity_tension,specificity_js,usefulness_gap,iv_gap_passive,iv_gap_aggressive,natural_score,natural_win_rate,seed
marl_learned,0,1.5041625260016591,0.5,0.0,1.0,1.0,1.0,14.932166666666667,-20.36066666666667,22.406999999999996,26.091000000000005,0.875,7031
marl_untrained,0,0.6873150928309273,1.0,1.0,1.0,0.0,1.0,-2.2119999999999997,-21.128,20.72533333333333,8.579333333333334,0.18333333333333332,7031
nearest_only,1,0.9603622703154779,1.0,1.0,1.0,0.0,1.0,2.5951666666666675,-19.38,25.363999999999997,14.040500000000002,0.38333333333333336,7031
role_oracle,1,0.999799616411146,0.0,0.0,0.0,0.0,1.0,2.3086666666666673,-22.08033333333334,22.89466666666667,14.066166666666668,0.5083333333333333,7031
damage_aware,1,1.430432360983443,0.5,0.0,1.0,1.0,1.0,3.1813333333333365,-22.40166666666667,21.977999999999998,13.870333333333338,0.43333333333333335,7031
marl_learned,0,1.5041625260016591,0.5,0.0,1.0,1.0,1.0,14.855833333333331,-20.444666666666674,23.027000000000005,26.08566666666667,0.875,7131
marl_untrained,0,1.4577174691301482,0.15,0.0,0.3,0.51,1.0,3.208,-18.861666666666668,20.562,11.486166666666668,0.45,7131
nearest_only,1,0.9798687566511528,1.0,1.0,1.0,0.0,1.0,1.2116666666666625,-21.755333333333336,22.465333333333337,14.3585,0.4166666666666667,7131
role_oracle,1,1.0611457985346873,0.008333333333333333,0.0,0.016666666666666666,0.03305555555555555,1.0,3.4601666666666677,-19.604999999999997,25.298333333333332,14.00366666666667,0.49166666666666664,7131
damage_aware,1,1.4815998198689109,0.5,0.0,1.0,1.0,1.0,5.170666666666666,-19.073,18.859,14.279000000000002,0.4583333333333333,7131
marl_learned,0,1.5794602719562187,0.5,0.0,1.0,1.0,1.0,14.056000000000003,-18.656999999999996,20.21333333333333,24.165500000000005,0.8,7231
marl_untrained,0,1.223133976947659,0.041666666666666664,0.016666666666666666,0.06666666666666667,0.1597222222222222,1.0,4.530000000000003,-15.196333333333335,18.161,10.441833333333337,0.4166666666666667,7231
nearest_only,1,0.941291028227705,1.0,1.0,1.0,0.0,1.0,1.3803333333333327,-19.561,23.082333333333334,13.173833333333334,0.35833333333333334,7231
role_oracle,1,0.9991983542636398,0.0,0.0,0.0,0.0,1.0,1.749666666666668,-22.064666666666668,24.397000000000002,13.675333333333336,0.48333333333333334,7231
damage_aware,1,1.4490786965747298,0.5,0.0,1.0,1.0,1.0,3.655000000000003,-20.69366666666667,17.754333333333335,13.560166666666671,0.425,7231
marl_learned,0,1.5557809900904456,0.5,0.0,1.0,1.0,1.0,12.993666666666666,-22.095000000000002,24.16166666666667,25.011833333333335,0.825,7331
marl_untrained,0,1.7400916179461232,0.65,0.3,1.0,0.9099999999999999,1.0,9.487833333333338,-19.203000000000003,21.823,20.681500000000007,0.6166666666666667,7331
nearest_only,1,0.9798687566511528,1.0,1.0,1.0,0.0,1.0,3.1928333333333327,-18.053333333333327,22.97,14.059500000000003,0.4166666666666667,7331
role_oracle,1,0.9991983542636398,0.0,0.0,0.0,0.0,1.0,2.3433333333333337,-20.451333333333334,24.892333333333337,13.690833333333336,0.48333333333333334,7331
damage_aware,1,1.5431061465286056,0.5,0.0,1.0,1.0,1.0,5.559000000000001,-20.632000000000012,22.508666666666663,15.492166666666668,0.5083333333333333,7331
marl_learned,0,1.5202155066565444,0.5,0.0,1.0,1.0,1.0,14.360500000000002,-21.003333333333337,25.154000000000003,26.041833333333336,0.8666666666666667,7431
marl_untrained,0,0.6500224216483541,0.8333333333333334,1.0,0.6666666666666666,0.5555555555555555,1.0,-5.341500000000001,-6.309333333333335,7.276666666666667,-4.5455000000000005,0.0,7431
nearest_only,1,0.9798687566511528,1.0,1.0,1.0,0.0,1.0,3.228833333333336,-18.677000000000003,25.376,14.346333333333336,0.4166666666666667,7431
role_oracle,1,1.0,0.0,0.0,0.0,0.0,1.0,2.5031666666666688,-20.47566666666667,24.582333333333338,13.539000000000003,0.5,7431
damage_aware,1,1.3776962753526187,0.5,0.0,1.0,1.0,1.0,5.977666666666668,-18.95,19.555333333333337,14.654333333333337,0.475,7431
