p_trigger_needed,cash_out,preserve_cost,trigger_payoff,direct_payoff,mismatch_payoff,h1_action,h2_action,h1_q_cash,h1_q_preserve,h2_q_cash,h2_q_preserve,context_value,option_value,horizon_reversal
0.05,0.0,3.0,13.0,9.0,0.0,cash_out,preserve_option,0.0,-3.0,0.0,5.549999999999999,8.549999999999999,5.549999999999999,1.0
0.05,0.0,3.5,13.0,9.0,0.0,cash_out,preserve_option,0.0,-3.5,0.0,5.049999999999999,8.549999999999999,5.049999999999999,1.0
0.05,0.0,4.0,13.0,9.0,0.0,cash_out,preserve_option,0.0,-4.0,0.0,4.549999999999999,8.549999999999999,4.549999999999999,1.0
0.05,0.0,4.5,13.0,9.0,0.0,cash_out,preserve_option,0.0,-4.5,0.0,4.049999999999999,8.549999999999999,4.049999999999999,1.0
0.05,0.0,5.0,13.0,9.0,0.0,cash_out,preserve_option,0.0,-5.0,0.0,3.549999999999999,8.549999999999999,3.549999999999999,1.0
0.05,0.0,5.5,13.0,9.0,0.0,cash_out,preserve_option,0.0,-5.5,0.0,3.049999999999999,8.549999999999999,3.049999999999999,1.0
0.05,0.0,6.0,13.0,9.0,0.0,cash_out,preserve_option,0.0,-6.0,0.0,2.549999999999999,8.549999999999999,2.549999999999999,1.0
0.05,0.0,6.5,13.0,9.0,0.0,cash_out,preserve_option,0.0,-6.5,0.0,2.049999999999999,8.549999999999999,2.049999999999999,1.0
0.05,0.0,7.0,13.0,9.0,0.0,cash_out,preserve_option,0.0,-7.0,0.0,1.549999999999999,8.549999999999999,1.549999999999999,1.0
0.05,0.0,7.5,13.0,9.0,0.0,cash_out,preserve_option,0.0,-7.5,0.0,1.049999999999999,8.549999999999999,1.049999999999999,1.0
0.05,0.0,8.0,13.0,9.0,0.0,cash_out,preserve_option,0.0,-8.0,0.0,0.5499999999999989,8.549999999999999,0.5499999999999989,1.0
0.05,0.5,3.0,13.0,9.0,0.0,cash_out,preserve_option,0.5,-3.0,0.5,5.549999999999999,8.549999999999999,5.049999999999999,1.0
0.05,0.5,3.5,13.0,9.0,0.0,cash_out,preserve_option,0.5,-3.5,0.5,5.049999999999999,8.549999999999999,4.549999999999999,1.0
0.05,0.5,4.0,13.0,9.0,0.0,cash_out,preserve_option,0.5,-4.0,0.5,4.549999999999999,8.549999999999999,4.049999999999999,1.0
0.05,0.5,4.5,13.0,9.0,0.0,cash_out,preserve_option,0.5,-4.5,0.5,4.049999999999999,8.549999999999999,3.549999999999999,1.0
0.05,0.5,5.0,13.0,9.0,0.0,cash_out,preserve_option,0.5,-5.0,0.5,3.549999999999999,8.549999999999999,3.049999999999999,1.0
0.05,0.5,5.5,13.0,9.0,0.0,cash_out,preserve_option,0.5,-5.5,0.5,3.049999999999999,8.549999999999999,2.549999999999999,1.0
0.05,0.5,6.0,13.0,9.0,0.0,cash_out,preserve_option,0.5,-6.0,0.5,2.549999999999999,8.549999999999999,2.049999999999999,1.0
0.05,0.5,6.5,13.0,9.0,0.0,cash_out,preserve_option,0.5,-6.5,0.5,2.049999999999999,8.549999999999999,1.549999999999999,1.0
0.05,0.5,7.0,13.0,9.0,0.0,cash_out,preserve_option,0.5,-7.0,0.5,1.549999999999999,8.549999999999999,1.049999999999999,1.0
0.05,0.5,7.5,13.0,9.0,0.0,cash_out,preserve_option,0.5,-7.5,0.5,1.049999999999999,8.549999999999999,0.5499999999999989,1.0
0.05,0.5,8.0,13.0,9.0,0.0,cash_out,preserve_option,0.5,-8.0,0.5,0.5499999999999989,8.549999999999999,0.049999999999998934,1.0
0.05,1.0,3.0,13.0,9.0,0.0,cash_out,preserve_option,1.0,-3.0,1.0,5.549999999999999,8.549999999999999,4.549999999999999,1.0
0.05,1.0,3.5,13.0,9.0,0.0,cash_out,preserve_option,1.0,-3.5,1.0,5.049999999999999,8.549999999999999,4.049999999999999,1.0
0.05,1.0,4.0,13.0,9.0,0.0,cash_out,preserve_option,1.0,-4.0,1.0,4.549999999999999,8.549999999999999,3.549999999999999,1.0
0.05,1.0,4.5,13.0,9.0,0.0,cash_out,preserve_option,1.0,-4.5,1.0,4.049999999999999,8.549999999999999,3.049999999999999,1.0
0.05,1.0,5.0,13.0,9.0,0.0,cash_out,preserve_option,1.0,-5.0,1.0,3.549999999999999,8.549999999999999,2.549999999999999,1.0
0.05,1.0,5.5,13.0,9.0,0.0,cash_out,preserve_option,1.0,-5.5,1.0,3.049999999999999,8.549999999999999,2.049999999999999,1.0
