regime,checkpoint,collapse_kl,collapse_burst,q_representation_jump,p_sacrifice_rescue,p_team_direct,p_selfish_escape,p_failed_noise
pure_team,0.0,0.0,0.0,0.0,0.002,0.017,0.017,0.964
pure_team,2000.0,5.878321443328327,5.878321443328327,0.9978274949492908,0.0,1.0,0.0,0.0
pure_team,5000.0,5.878321443328327,0.0,0.12132533716565937,0.0,1.0,0.0,0.0
pure_team,10000.0,5.866913685592308,0.0,0.16213531774163753,0.0,0.999,0.001,0.0
pure_team,15000.0,8.6076849435968,2.740771258004492,0.12100603454376636,0.961,0.039,0.0,0.0
pure_team,25000.0,8.81628611109037,0.20860116749357083,0.09091760573771081,0.986,0.014,0.0,0.0
dense_shaping,0.0,0.0,0.0,0.0,0.005,0.024,0.017,0.954
dense_shaping,2000.0,5.380821783882261,5.380821783882261,1.0495164230103247,0.0,1.0,0.0,0.0
dense_shaping,5000.0,5.380821783882261,0.0,0.13976291828795057,0.0,1.0,0.0,0.0
dense_shaping,10000.0,5.346722263577937,0.0,0.4387014747015905,0.005,0.995,0.0,0.0
dense_shaping,15000.0,5.380821783882261,0.03409952030432439,0.16260692337978958,0.0,1.0,0.0,0.0
dense_shaping,25000.0,5.3581468352555985,0.0,0.2844037595028608,0.003,0.997,0.0,0.0
uncertain_preference,0.0,0.0,0.0,0.0,0.007,0.021,0.017,0.955
uncertain_preference,2000.0,4.76280847827783,4.76280847827783,0.40689377511446256,0.0,0.675,0.325,0.0
uncertain_preference,5000.0,5.556552064579974,0.7937435863021438,1.3513022341444492,0.0,0.999,0.0,0.001
uncertain_preference,10000.0,5.477347895939383,0.0,0.3967378677144187,0.0,0.987,0.013,0.0
uncertain_preference,15000.0,4.740547076744734,0.0,0.2931139263663428,0.002,0.665,0.333,0.0
uncertain_preference,25000.0,4.7392918771728185,0.0,0.20092528067386556,0.001,0.653,0.346,0.0
random_noise,0.0,0.0,0.0,0.0,0.006,0.018,0.025,0.951
random_noise,2000.0,0.07248275380144945,0.07248275380144945,0.9484634642353073,0.0,0.0,0.0,1.0
random_noise,5000.0,0.19849222561483962,0.12600947181339017,0.5470113902097369,0.002,0.113,0.001,0.884
random_noise,10000.0,3.78762929190429,3.5891370662894504,0.719920401199174,0.273,0.55,0.0,0.177
random_noise,15000.0,7.3678290634653445,3.5801997715610545,0.41551028051315625,0.999,0.001,0.0,0.0
random_noise,25000.0,7.380821783701925,0.012992720236580269,0.5626357297283707,1.0,0.0,0.0,0.0
