Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
[pair_F] {"steps": 2048, "elapsed_s": 2.1, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 1.0, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 0.3333333333333333}
[pair_F] {"steps": 4096, "elapsed_s": 3.8, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.6666666666666666, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 0.6}
[pair_F] {"steps": 6144, "elapsed_s": 6.4, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.75, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 0.625}
[pair_F] {"steps": 8192, "elapsed_s": 8.3, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.5714285714285714, "asymmetric_advantages_sparse20": 1.6666666666666667, "asymmetric_advantages_potter0_20": 0.7}
[pair_F] {"steps": 10240, "elapsed_s": 10.2, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.6, "asymmetric_advantages_sparse20": 1.4285714285714286, "asymmetric_advantages_potter0_20": 0.75}
[pair_F] {"steps": 12288, "elapsed_s": 11.9, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.6, "asymmetric_advantages_sparse20": 1.1111111111111112, "asymmetric_advantages_potter0_20": 0.7857142857142857}
[pair_F] {"steps": 14336, "elapsed_s": 13.8, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.5454545454545454, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 0.8125}
[pair_F] {"steps": 16384, "elapsed_s": 15.7, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.5, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 0.8235294117647058}
[pair_F] {"steps": 18432, "elapsed_s": 17.6, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.5625, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 0.8333333333333334}
[pair_F] {"steps": 20480, "elapsed_s": 19.4, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.5, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 0.85}
[pair_F] {"steps": 22528, "elapsed_s": 21.3, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.55, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 0.95}
[pair_F] {"steps": 24576, "elapsed_s": 23.2, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.55, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 26624, "elapsed_s": 25.1, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.55, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 28672, "elapsed_s": 26.7, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.5, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 30720, "elapsed_s": 28.5, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.5, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 32768, "elapsed_s": 30.3, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.5, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 34816, "elapsed_s": 32.6, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.65, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 36864, "elapsed_s": 34.5, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.65, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 38912, "elapsed_s": 36.6, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.6, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 40960, "elapsed_s": 39.0, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.6, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 43008, "elapsed_s": 40.8, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.65, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 45056, "elapsed_s": 42.4, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.6, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 47104, "elapsed_s": 44.4, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.5, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 49152, "elapsed_s": 46.5, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.55, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 51200, "elapsed_s": 48.7, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.6, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 53248, "elapsed_s": 51.0, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.5, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 55296, "elapsed_s": 52.7, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.5, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 57344, "elapsed_s": 55.1, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.35, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 59392, "elapsed_s": 58.1, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.4, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 61440, "elapsed_s": 60.4, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.4, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 63488, "elapsed_s": 62.4, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.4, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 65536, "elapsed_s": 64.8, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.4, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 67584, "elapsed_s": 67.5, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.45, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 69632, "elapsed_s": 69.7, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.5, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 71680, "elapsed_s": 72.0, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.5, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 73728, "elapsed_s": 74.7, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.5, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 75776, "elapsed_s": 77.2, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.45, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 77824, "elapsed_s": 79.4, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.55, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 79872, "elapsed_s": 81.4, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.6, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 1.0}
