Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
[pair_I] {"steps": 2048, "elapsed_s": 56.6, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 0.6, "centre_pots_sparse20": 0.0, "centre_pots_potter0_20": null}
[pair_I] {"steps": 4096, "elapsed_s": 107.6, "asymmetric_advantages_sparse20": 2.5, "asymmetric_advantages_potter0_20": 0.625, "centre_pots_sparse20": 0.0, "centre_pots_potter0_20": 0.0}
[pair_I] {"steps": 6144, "elapsed_s": 154.1, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 0.7, "centre_pots_sparse20": 0.0, "centre_pots_potter0_20": 0.6}
[pair_I] {"steps": 8192, "elapsed_s": 206.2, "asymmetric_advantages_sparse20": 1.8181818181818181, "asymmetric_advantages_potter0_20": 0.7272727272727273, "centre_pots_sparse20": 0.0, "centre_pots_potter0_20": 0.5555555555555556}
[pair_I] {"steps": 10240, "elapsed_s": 266.2, "asymmetric_advantages_sparse20": 1.4285714285714286, "asymmetric_advantages_potter0_20": 0.75, "centre_pots_sparse20": 0.0, "centre_pots_potter0_20": 0.6363636363636364}
[pair_I] {"steps": 12288, "elapsed_s": 301.9, "asymmetric_advantages_sparse20": 1.1764705882352942, "asymmetric_advantages_potter0_20": 0.8, "centre_pots_sparse20": 0.0, "centre_pots_potter0_20": 0.6923076923076923}
[pair_I] {"steps": 14336, "elapsed_s": 326.2, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 0.8421052631578947, "centre_pots_sparse20": 0.0, "centre_pots_potter0_20": 0.6428571428571429}
[pair_I] {"steps": 16384, "elapsed_s": 359.3, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 0.9, "centre_pots_sparse20": 0.0, "centre_pots_potter0_20": 0.6875}
[pair_I] {"steps": 18432, "elapsed_s": 389.5, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 0.95, "centre_pots_sparse20": 0.0, "centre_pots_potter0_20": 0.65}
[pair_I] {"steps": 20480, "elapsed_s": 421.5, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 0.95, "centre_pots_sparse20": 0.0, "centre_pots_potter0_20": 0.7}
[pair_I] {"steps": 22528, "elapsed_s": 447.3, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 0.0, "centre_pots_potter0_20": 0.75}
[pair_I] {"steps": 24576, "elapsed_s": 481.1, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 0.0, "centre_pots_potter0_20": 0.75}
[pair_I] {"steps": 26624, "elapsed_s": 508.0, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 0.0, "centre_pots_potter0_20": 0.7}
[pair_I] {"steps": 28672, "elapsed_s": 540.0, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 0.0, "centre_pots_potter0_20": 0.7}
[pair_I] {"steps": 30720, "elapsed_s": 569.1, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 0.0, "centre_pots_potter0_20": 0.6}
[pair_I] {"steps": 32768, "elapsed_s": 591.3, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 0.0, "centre_pots_potter0_20": 0.65}
[pair_I] {"steps": 34816, "elapsed_s": 619.5, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 0.0, "centre_pots_potter0_20": 0.75}
[pair_I] {"steps": 36864, "elapsed_s": 646.5, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 0.0, "centre_pots_potter0_20": 0.75}
[pair_I] {"steps": 38912, "elapsed_s": 672.6, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 0.0, "centre_pots_potter0_20": 0.65}
[pair_I] {"steps": 40960, "elapsed_s": 700.3, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 0.0, "centre_pots_potter0_20": 0.7}
