Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
[pair_C] {"steps": 2048, "elapsed_s": 2.0, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": null, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 0.75}
[pair_C] {"steps": 4096, "elapsed_s": 3.7, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 0.8571428571428571}
[pair_C] {"steps": 6144, "elapsed_s": 5.4, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 0.8888888888888888}
[pair_C] {"steps": 8192, "elapsed_s": 6.6, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 0.9230769230769231}
[pair_C] {"steps": 10240, "elapsed_s": 7.8, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 0.8666666666666667}
[pair_C] {"steps": 12288, "elapsed_s": 9.0, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 0.8888888888888888}
[pair_C] {"steps": 14336, "elapsed_s": 10.1, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 0.8947368421052632}
[pair_C] {"steps": 16384, "elapsed_s": 11.3, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 0.95}
[pair_C] {"steps": 18432, "elapsed_s": 12.5, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 0.95}
[pair_C] {"steps": 20480, "elapsed_s": 13.6, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 0.95}
[pair_C] {"steps": 22528, "elapsed_s": 14.8, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 0.95}
[pair_C] {"steps": 24576, "elapsed_s": 15.9, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 0.95}
[pair_C] {"steps": 26624, "elapsed_s": 17.1, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 0.95}
[pair_C] {"steps": 28672, "elapsed_s": 18.3, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 0.95}
[pair_C] {"steps": 30720, "elapsed_s": 19.5, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 0.95}
[pair_C] {"steps": 32768, "elapsed_s": 20.6, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 34816, "elapsed_s": 21.8, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 36864, "elapsed_s": 23.0, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 38912, "elapsed_s": 24.2, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 40960, "elapsed_s": 25.4, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 43008, "elapsed_s": 26.5, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 45056, "elapsed_s": 27.7, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 47104, "elapsed_s": 28.9, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 49152, "elapsed_s": 30.0, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 51200, "elapsed_s": 31.3, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 53248, "elapsed_s": 32.5, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 55296, "elapsed_s": 33.6, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 57344, "elapsed_s": 34.8, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 59392, "elapsed_s": 36.0, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 61440, "elapsed_s": 37.1, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 63488, "elapsed_s": 38.3, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 65536, "elapsed_s": 39.6, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 67584, "elapsed_s": 40.7, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 69632, "elapsed_s": 42.0, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 71680, "elapsed_s": 43.2, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 73728, "elapsed_s": 44.3, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 3.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 75776, "elapsed_s": 45.5, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 3.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 77824, "elapsed_s": 46.7, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 79872, "elapsed_s": 47.8, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 81920, "elapsed_s": 49.0, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 83968, "elapsed_s": 50.2, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 86016, "elapsed_s": 51.4, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 88064, "elapsed_s": 52.6, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 90112, "elapsed_s": 53.8, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 92160, "elapsed_s": 55.0, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 94208, "elapsed_s": 56.2, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 96256, "elapsed_s": 57.4, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 98304, "elapsed_s": 58.6, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 100352, "elapsed_s": 59.7, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 102400, "elapsed_s": 60.9, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 104448, "elapsed_s": 62.0, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 106496, "elapsed_s": 63.4, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 108544, "elapsed_s": 64.9, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 110592, "elapsed_s": 66.1, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 112640, "elapsed_s": 67.4, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 114688, "elapsed_s": 68.6, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 5.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 116736, "elapsed_s": 69.7, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 5.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 118784, "elapsed_s": 70.9, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 5.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 120832, "elapsed_s": 72.3, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 3.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 122880, "elapsed_s": 73.5, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 124928, "elapsed_s": 74.6, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 126976, "elapsed_s": 75.8, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 129024, "elapsed_s": 77.1, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 5.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 131072, "elapsed_s": 78.3, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 5.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 133120, "elapsed_s": 79.5, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 6.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 135168, "elapsed_s": 80.7, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 7.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 137216, "elapsed_s": 81.9, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 7.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 139264, "elapsed_s": 83.1, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 7.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 141312, "elapsed_s": 84.3, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 8.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 143360, "elapsed_s": 85.4, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 7.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 145408, "elapsed_s": 86.6, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 7.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 147456, "elapsed_s": 87.9, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 149504, "elapsed_s": 89.1, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 3.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 151552, "elapsed_s": 90.3, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 3.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 153600, "elapsed_s": 91.5, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 155648, "elapsed_s": 92.7, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 157696, "elapsed_s": 93.9, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 5.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 159744, "elapsed_s": 95.2, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 11.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 161792, "elapsed_s": 96.4, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 13.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 163840, "elapsed_s": 97.6, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 13.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_C] {"steps": 165888, "elapsed_s": 98.9, "forced_coordination_sparse20": 0.0, "forced_coordination_potter0_20": 1.0, "asymmetric_advantages_sparse20": 15.0, "asymmetric_advantages_potter0_20": 1.0}
