Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
[cramped_room s8801] steps 2048 sparse20 0.0 potter0 0.75 (1.5s)
[cramped_room s8801] steps 4096 sparse20 0.0 potter0 0.5555555555555556 (2.7s)
[cramped_room s8801] steps 6144 sparse20 0.0 potter0 0.5 (3.9s)
[cramped_room s8801] steps 8192 sparse20 0.0 potter0 0.47368421052631576 (5.1s)
[cramped_room s8801] steps 10240 sparse20 0.0 potter0 0.45 (6.2s)
[cramped_room s8801] steps 12288 sparse20 0.0 potter0 0.35 (7.3s)
[cramped_room s8801] steps 14336 sparse20 0.0 potter0 0.25 (8.6s)
[cramped_room s8801] steps 16384 sparse20 0.0 potter0 0.2 (9.8s)
[cramped_room s8801] steps 18432 sparse20 0.0 potter0 0.15 (10.9s)
[cramped_room s8801] steps 20480 sparse20 1.0 potter0 0.3 (12.1s)
[cramped_room s8801] steps 22528 sparse20 1.0 potter0 0.35 (13.3s)
[cramped_room s8801] steps 24576 sparse20 1.0 potter0 0.5 (14.5s)
[cramped_room s8801] steps 26624 sparse20 1.0 potter0 0.45 (15.8s)
[cramped_room s8801] steps 28672 sparse20 0.0 potter0 0.45 (17.0s)
[cramped_room s8801] steps 30720 sparse20 0.0 potter0 0.5 (18.1s)
[cramped_room s8801] steps 32768 sparse20 0.0 potter0 0.3 (19.3s)
[cramped_room s8801] steps 34816 sparse20 0.0 potter0 0.3 (20.4s)
[cramped_room s8801] steps 36864 sparse20 0.0 potter0 0.2 (21.6s)
[cramped_room s8801] steps 38912 sparse20 0.0 potter0 0.3 (23.0s)
[cramped_room s8801] steps 40960 sparse20 0.0 potter0 0.4 (24.4s)
[cramped_room s8801] steps 43008 sparse20 0.0 potter0 0.35 (25.6s)
[cramped_room s8801] steps 45056 sparse20 0.0 potter0 0.35 (26.7s)
[cramped_room s8801] steps 47104 sparse20 0.0 potter0 0.35 (27.9s)
[cramped_room s8801] steps 49152 sparse20 1.0 potter0 0.4 (29.0s)
[cramped_room s8801] steps 51200 sparse20 1.0 potter0 0.4 (30.1s)
[cramped_room s8801] steps 53248 sparse20 1.0 potter0 0.55 (31.3s)
[cramped_room s8801] steps 55296 sparse20 1.0 potter0 0.6 (32.4s)
[cramped_room s8801] steps 57344 sparse20 0.0 potter0 0.6 (33.6s)
[cramped_room s8801] steps 59392 sparse20 0.0 potter0 0.65 (34.8s)
[cramped_room s8801] steps 61440 sparse20 0.0 potter0 0.5 (36.0s)
[cramped_room s8801] steps 63488 sparse20 0.0 potter0 0.45 (37.1s)
[cramped_room s8801] steps 65536 sparse20 0.0 potter0 0.35 (38.2s)
[cramped_room s8801] steps 67584 sparse20 0.0 potter0 0.45 (39.4s)
[cramped_room s8801] steps 69632 sparse20 0.0 potter0 0.6 (40.5s)
[cramped_room s8801] steps 71680 sparse20 0.0 potter0 0.5 (41.6s)
[cramped_room s8801] steps 73728 sparse20 1.0 potter0 0.4 (42.8s)
[cramped_room s8801] steps 75776 sparse20 1.0 potter0 0.4 (43.9s)
[cramped_room s8801] steps 77824 sparse20 1.0 potter0 0.25 (45.0s)
[cramped_room s8801] steps 79872 sparse20 1.0 potter0 0.35 (46.1s)
[cramped_room s8801] steps 81920 sparse20 0.0 potter0 0.35 (47.3s)
[cramped_room s8801] steps 83968 sparse20 0.0 potter0 0.3 (48.4s)
[cramped_room s8801] steps 86016 sparse20 0.0 potter0 0.45 (49.5s)
[cramped_room s8801] steps 88064 sparse20 0.0 potter0 0.35 (50.7s)
[cramped_room s8801] steps 90112 sparse20 0.0 potter0 0.3 (51.9s)
[cramped_room s8801] steps 92160 sparse20 0.0 potter0 0.35 (53.1s)
[cramped_room s8801] steps 94208 sparse20 0.0 potter0 0.35 (54.3s)
[cramped_room s8801] steps 96256 sparse20 0.0 potter0 0.45 (55.5s)
[cramped_room s8801] steps 98304 sparse20 1.0 potter0 0.45 (56.7s)
[cramped_room s8801] steps 100352 sparse20 1.0 potter0 0.4 (57.9s)
[cramped_room s8801] steps 102400 sparse20 2.0 potter0 0.3 (59.1s)
[cramped_room s8801] steps 104448 sparse20 2.0 potter0 0.15 (60.3s)
[cramped_room s8801] steps 106496 sparse20 1.0 potter0 0.2 (61.5s)
[cramped_room s8801] steps 108544 sparse20 2.0 potter0 0.25 (62.6s)
[cramped_room s8801] steps 110592 sparse20 1.0 potter0 0.25 (63.8s)
[cramped_room s8801] steps 112640 sparse20 1.0 potter0 0.25 (65.1s)
[cramped_room s8801] steps 114688 sparse20 1.0 potter0 0.25 (66.3s)
[cramped_room s8801] steps 116736 sparse20 1.0 potter0 0.25 (67.5s)
[cramped_room s8801] steps 118784 sparse20 1.0 potter0 0.25 (68.9s)
[cramped_room s8801] steps 120832 sparse20 1.0 potter0 0.45 (70.3s)
[cramped_room s8801] steps 122880 sparse20 2.0 potter0 0.45 (71.5s)
[cramped_room s8801] steps 124928 sparse20 1.0 potter0 0.4 (72.6s)
[cramped_room s8801] steps 126976 sparse20 5.0 potter0 0.35 (74.0s)
[cramped_room s8801] steps 129024 sparse20 7.0 potter0 0.3 (75.5s)
[cramped_room s8801] steps 131072 sparse20 7.0 potter0 0.3 (76.7s)
[cramped_room s8801] steps 133120 sparse20 8.0 potter0 0.5 (77.9s)
