p_trigger_needed,cash_out,preserve_cost,trigger_payoff,direct_payoff,mismatch_payoff,capability,expected_return,success_rate,trigger_rate,option_preserved,context_used,over_trigger_rate,is_best_return,full_return_gain_vs_myopic,full_return_gain_vs_no_context,full_success_gain_vs_no_context,performance_closure
0.05,0.0,0.0,13.0,9.0,0.0,myopic_cash_out,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,0.0,13.0,9.0,0.0,no_preserve_action,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,0.0,13.0,9.0,0.0,preserve_no_context,8.549999999999999,0.95,0.0,1.0,0.0,0.0,0.0,9.2,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,0.0,13.0,9.0,0.0,preserve_always_trigger,0.65,0.05,1.0,1.0,0.0,0.95,0.0,9.2,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,0.0,13.0,9.0,0.0,preserve_always_direct,8.549999999999999,0.95,0.0,1.0,0.0,0.0,0.0,9.2,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,0.0,13.0,9.0,0.0,preserve_context_contingent,9.2,1.0,0.05,1.0,1.0,0.0,1.0,9.2,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,0.5,13.0,9.0,0.0,myopic_cash_out,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,0.5,13.0,9.0,0.0,no_preserve_action,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,0.5,13.0,9.0,0.0,preserve_no_context,8.049999999999999,0.95,0.0,1.0,0.0,0.0,0.0,8.7,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,0.5,13.0,9.0,0.0,preserve_always_trigger,0.15000000000000002,0.05,1.0,1.0,0.0,0.95,0.0,8.7,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,0.5,13.0,9.0,0.0,preserve_always_direct,8.049999999999999,0.95,0.0,1.0,0.0,0.0,0.0,8.7,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,0.5,13.0,9.0,0.0,preserve_context_contingent,8.7,1.0,0.05,1.0,1.0,0.0,1.0,8.7,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,1.0,13.0,9.0,0.0,myopic_cash_out,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,1.0,13.0,9.0,0.0,no_preserve_action,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,1.0,13.0,9.0,0.0,preserve_no_context,7.549999999999999,0.95,0.0,1.0,0.0,0.0,0.0,8.2,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,1.0,13.0,9.0,0.0,preserve_always_trigger,-0.35,0.05,1.0,1.0,0.0,0.95,0.0,8.2,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,1.0,13.0,9.0,0.0,preserve_always_direct,7.549999999999999,0.95,0.0,1.0,0.0,0.0,0.0,8.2,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,1.0,13.0,9.0,0.0,preserve_context_contingent,8.2,1.0,0.05,1.0,1.0,0.0,1.0,8.2,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,1.5,13.0,9.0,0.0,myopic_cash_out,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.699999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,1.5,13.0,9.0,0.0,no_preserve_action,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.699999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,1.5,13.0,9.0,0.0,preserve_no_context,7.049999999999999,0.95,0.0,1.0,0.0,0.0,0.0,7.699999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,1.5,13.0,9.0,0.0,preserve_always_trigger,-0.85,0.05,1.0,1.0,0.0,0.95,0.0,7.699999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,1.5,13.0,9.0,0.0,preserve_always_direct,7.049999999999999,0.95,0.0,1.0,0.0,0.0,0.0,7.699999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,1.5,13.0,9.0,0.0,preserve_context_contingent,7.699999999999999,1.0,0.05,1.0,1.0,0.0,1.0,7.699999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,2.0,13.0,9.0,0.0,myopic_cash_out,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.199999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,2.0,13.0,9.0,0.0,no_preserve_action,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.199999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,2.0,13.0,9.0,0.0,preserve_no_context,6.549999999999999,0.95,0.0,1.0,0.0,0.0,0.0,7.199999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,2.0,13.0,9.0,0.0,preserve_always_trigger,-1.35,0.05,1.0,1.0,0.0,0.95,0.0,7.199999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,2.0,13.0,9.0,0.0,preserve_always_direct,6.549999999999999,0.95,0.0,1.0,0.0,0.0,0.0,7.199999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,2.0,13.0,9.0,0.0,preserve_context_contingent,7.199999999999999,1.0,0.05,1.0,1.0,0.0,1.0,7.199999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,2.5,13.0,9.0,0.0,myopic_cash_out,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.699999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,2.5,13.0,9.0,0.0,no_preserve_action,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.699999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,2.5,13.0,9.0,0.0,preserve_no_context,6.049999999999999,0.95,0.0,1.0,0.0,0.0,0.0,6.699999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,2.5,13.0,9.0,0.0,preserve_always_trigger,-1.85,0.05,1.0,1.0,0.0,0.95,0.0,6.699999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,2.5,13.0,9.0,0.0,preserve_always_direct,6.049999999999999,0.95,0.0,1.0,0.0,0.0,0.0,6.699999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,2.5,13.0,9.0,0.0,preserve_context_contingent,6.699999999999999,1.0,0.05,1.0,1.0,0.0,1.0,6.699999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,3.0,13.0,9.0,0.0,myopic_cash_out,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.199999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,3.0,13.0,9.0,0.0,no_preserve_action,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.199999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,3.0,13.0,9.0,0.0,preserve_no_context,5.549999999999999,0.95,0.0,1.0,0.0,0.0,0.0,6.199999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,3.0,13.0,9.0,0.0,preserve_always_trigger,-2.35,0.05,1.0,1.0,0.0,0.95,0.0,6.199999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,3.0,13.0,9.0,0.0,preserve_always_direct,5.549999999999999,0.95,0.0,1.0,0.0,0.0,0.0,6.199999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,3.0,13.0,9.0,0.0,preserve_context_contingent,6.199999999999999,1.0,0.05,1.0,1.0,0.0,1.0,6.199999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,3.5,13.0,9.0,0.0,myopic_cash_out,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.699999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,3.5,13.0,9.0,0.0,no_preserve_action,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.699999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,3.5,13.0,9.0,0.0,preserve_no_context,5.049999999999999,0.95,0.0,1.0,0.0,0.0,0.0,5.699999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,3.5,13.0,9.0,0.0,preserve_always_trigger,-2.85,0.05,1.0,1.0,0.0,0.95,0.0,5.699999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,3.5,13.0,9.0,0.0,preserve_always_direct,5.049999999999999,0.95,0.0,1.0,0.0,0.0,0.0,5.699999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,3.5,13.0,9.0,0.0,preserve_context_contingent,5.699999999999999,1.0,0.05,1.0,1.0,0.0,1.0,5.699999999999999,0.6500000000000004,0.050000000000000044,1.0
0.05,0.0,4.0,13.0,9.0,0.0,myopic_cash_out,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.199999999999999,0.6500000000000004,0.050000000000000044,1.0
