mismatch_payoff,trigger_payoff,direct_payoff,n_conditions,full_best_return_rate,performance_closure_rate,full_mean_return,myopic_mean_return,no_context_mean_return,full_mean_success,no_context_mean_success,full_return_gain_vs_myopic,full_return_gain_vs_no_context,full_success_gain_vs_no_context
-2.0,11.0,11.0,4275.0,0.7585964912280702,0.7209356725146199,9.0,6.0,5.578947368421052,1.0,0.7368421052631579,3.0,3.4210526315789473,0.2631578947368421
-2.0,12.0,10.0,4275.0,0.7431578947368421,0.7368421052631579,9.0,6.0,5.605263157894737,1.0,0.7368421052631579,3.0,3.3947368421052633,0.2631578947368421
-2.0,13.0,9.0,4275.0,0.7426900584795322,0.7363742690058479,9.0,6.0,5.668421052631579,1.0,0.7315789473684211,3.0,3.331578947368421,0.26842105263157895
-2.0,14.0,8.0,4275.0,0.7398830409356725,0.7338011695906432,9.0,6.0,5.768421052631579,1.0,0.7210526315789474,3.0,3.231578947368421,0.2789473684210526
-2.0,15.0,7.0,4275.0,0.7342690058479532,0.728421052631579,9.0,6.0,5.905263157894737,1.0,0.7052631578947368,3.0,3.094736842105263,0.29473684210526313
0.0,11.0,11.0,4275.0,0.7585964912280702,0.7209356725146199,9.0,6.0,6.105263157894737,1.0,0.7368421052631579,3.0,2.8947368421052633,0.2631578947368421
0.0,12.0,10.0,4275.0,0.7431578947368421,0.7368421052631579,9.0,6.0,6.131578947368421,1.0,0.7368421052631579,3.0,2.8684210526315788,0.2631578947368421
0.0,13.0,9.0,4275.0,0.7426900584795322,0.7363742690058479,9.0,6.0,6.205263157894737,1.0,0.7315789473684211,3.0,2.794736842105263,0.26842105263157895
0.0,14.0,8.0,4275.0,0.7398830409356725,0.7338011695906432,9.0,6.0,6.326315789473684,1.0,0.7210526315789474,3.0,2.6736842105263157,0.2789473684210526
0.0,15.0,7.0,4275.0,0.7342690058479532,0.728421052631579,9.0,6.0,6.494736842105263,1.0,0.7052631578947368,3.0,2.5052631578947366,0.29473684210526313
2.0,11.0,11.0,4275.0,0.7585964912280702,0.7209356725146199,9.0,6.0,6.631578947368421,1.0,0.7368421052631579,3.0,2.3684210526315788,0.2631578947368421
2.0,12.0,10.0,4275.0,0.7431578947368421,0.7368421052631579,9.0,6.0,6.663157894736842,1.0,0.7315789473684211,3.0,2.336842105263158,0.26842105263157895
2.0,13.0,9.0,4275.0,0.7426900584795322,0.7363742690058479,9.0,6.0,6.752631578947368,1.0,0.7210526315789474,3.0,2.2473684210526317,0.2789473684210526
2.0,14.0,8.0,4275.0,0.7398830409356725,0.7338011695906432,9.0,6.0,6.9,1.0,0.7052631578947368,3.0,2.1,0.29473684210526313
2.0,15.0,7.0,4275.0,0.7342690058479532,0.728421052631579,9.0,6.0,7.105263157894737,1.0,0.6842105263157895,3.0,1.894736842105263,0.3157894736842105
4.0,11.0,11.0,4275.0,0.7585964912280702,0.7209356725146199,9.0,6.0,7.157894736842105,1.0,0.7368421052631579,3.0,1.8421052631578947,0.2631578947368421
4.0,12.0,10.0,4275.0,0.7431578947368421,0.7368421052631579,9.0,6.0,7.2,1.0,0.7315789473684211,3.0,1.8,0.26842105263157895
4.0,13.0,9.0,4275.0,0.7426900584795322,0.7363742690058479,9.0,6.0,7.310526315789474,1.0,0.7210526315789474,3.0,1.6894736842105262,0.2789473684210526
4.0,14.0,8.0,4275.0,0.7398830409356725,0.7338011695906432,9.0,6.0,7.5,1.0,0.6842105263157895,3.0,1.5,0.3157894736842105
4.0,15.0,7.0,4275.0,0.7342690058479532,0.728421052631579,9.0,6.0,7.7631578947368425,1.0,0.6578947368421053,3.0,1.236842105263158,0.34210526315789475
