p_trigger_needed,cash_out,preserve_cost,trigger_payoff,direct_payoff,mismatch_payoff,return_myopic_greedy,return_always_trigger,return_always_direct,return_random_preserve,return_possibility_preserving,winner,option_value,local_optimality_gap,threshold_cash_out,local_optimum_trap
0.05,0.0,0.0,13.0,9.0,0.0,0.0,0.65,8.549999999999999,4.6,9.2,possibility_preserving,9.2,0.0,9.2,0.0
0.05,0.0,0.5,13.0,9.0,0.0,0.0,0.15000000000000002,8.049999999999999,4.1,8.7,possibility_preserving,8.7,0.5,8.7,1.0
0.05,0.0,1.0,13.0,9.0,0.0,0.0,-0.35,7.549999999999999,3.5999999999999996,8.2,possibility_preserving,8.2,1.0,8.2,1.0
0.05,0.0,1.5,13.0,9.0,0.0,0.0,-0.85,7.049999999999999,3.0999999999999996,7.699999999999999,possibility_preserving,7.699999999999999,1.5,7.699999999999999,1.0
0.05,0.0,2.0,13.0,9.0,0.0,0.0,-1.35,6.549999999999999,2.5999999999999996,7.199999999999999,possibility_preserving,7.199999999999999,2.0,7.199999999999999,1.0
0.05,0.0,2.5,13.0,9.0,0.0,0.0,-1.85,6.049999999999999,2.0999999999999996,6.699999999999999,possibility_preserving,6.699999999999999,2.5,6.699999999999999,1.0
0.05,0.0,3.0,13.0,9.0,0.0,0.0,-2.35,5.549999999999999,1.5999999999999994,6.199999999999999,possibility_preserving,6.199999999999999,3.0,6.199999999999999,1.0
0.05,0.0,3.5,13.0,9.0,0.0,0.0,-2.85,5.049999999999999,1.0999999999999994,5.699999999999999,possibility_preserving,5.699999999999999,3.5,5.699999999999999,1.0
0.05,0.0,4.0,13.0,9.0,0.0,0.0,-3.35,4.549999999999999,0.5999999999999994,5.199999999999999,possibility_preserving,5.199999999999999,4.0,5.199999999999999,1.0
0.05,0.5,0.0,13.0,9.0,0.0,0.5,0.65,8.549999999999999,4.6,9.2,possibility_preserving,8.7,0.5,9.2,1.0
0.05,0.5,0.5,13.0,9.0,0.0,0.5,0.15000000000000002,8.049999999999999,4.1,8.7,possibility_preserving,8.2,1.0,8.7,1.0
0.05,0.5,1.0,13.0,9.0,0.0,0.5,-0.35,7.549999999999999,3.5999999999999996,8.2,possibility_preserving,7.699999999999999,1.5,8.2,1.0
0.05,0.5,1.5,13.0,9.0,0.0,0.5,-0.85,7.049999999999999,3.0999999999999996,7.699999999999999,possibility_preserving,7.199999999999999,2.0,7.699999999999999,1.0
0.05,0.5,2.0,13.0,9.0,0.0,0.5,-1.35,6.549999999999999,2.5999999999999996,7.199999999999999,possibility_preserving,6.699999999999999,2.5,7.199999999999999,1.0
0.05,0.5,2.5,13.0,9.0,0.0,0.5,-1.85,6.049999999999999,2.0999999999999996,6.699999999999999,possibility_preserving,6.199999999999999,3.0,6.699999999999999,1.0
0.05,0.5,3.0,13.0,9.0,0.0,0.5,-2.35,5.549999999999999,1.5999999999999994,6.199999999999999,possibility_preserving,5.699999999999999,3.5,6.199999999999999,1.0
0.05,0.5,3.5,13.0,9.0,0.0,0.5,-2.85,5.049999999999999,1.0999999999999994,5.699999999999999,possibility_preserving,5.199999999999999,4.0,5.699999999999999,1.0
0.05,0.5,4.0,13.0,9.0,0.0,0.5,-3.35,4.549999999999999,0.5999999999999994,5.199999999999999,possibility_preserving,4.699999999999999,4.5,5.199999999999999,1.0
0.05,1.0,0.0,13.0,9.0,0.0,1.0,0.65,8.549999999999999,4.6,9.2,possibility_preserving,8.2,1.0,9.2,1.0
0.05,1.0,0.5,13.0,9.0,0.0,1.0,0.15000000000000002,8.049999999999999,4.1,8.7,possibility_preserving,7.699999999999999,1.5,8.7,1.0
0.05,1.0,1.0,13.0,9.0,0.0,1.0,-0.35,7.549999999999999,3.5999999999999996,8.2,possibility_preserving,7.199999999999999,2.0,8.2,1.0
0.05,1.0,1.5,13.0,9.0,0.0,1.0,-0.85,7.049999999999999,3.0999999999999996,7.699999999999999,possibility_preserving,6.699999999999999,2.5,7.699999999999999,1.0
0.05,1.0,2.0,13.0,9.0,0.0,1.0,-1.35,6.549999999999999,2.5999999999999996,7.199999999999999,possibility_preserving,6.199999999999999,3.0,7.199999999999999,1.0
0.05,1.0,2.5,13.0,9.0,0.0,1.0,-1.85,6.049999999999999,2.0999999999999996,6.699999999999999,possibility_preserving,5.699999999999999,3.5,6.699999999999999,1.0
0.05,1.0,3.0,13.0,9.0,0.0,1.0,-2.35,5.549999999999999,1.5999999999999994,6.199999999999999,possibility_preserving,5.199999999999999,4.0,6.199999999999999,1.0
0.05,1.0,3.5,13.0,9.0,0.0,1.0,-2.85,5.049999999999999,1.0999999999999994,5.699999999999999,possibility_preserving,4.699999999999999,4.5,5.699999999999999,1.0
