2026-07-20T19:10:36+08:00 proxy down; waiting
2026-07-20T19:12:36+08:00 proxy down; waiting
2026-07-20T19:14:36+08:00 proxy down; waiting
2026-07-20T19:16:36+08:00 proxy down; waiting
2026-07-20T19:18:36+08:00 proxy down; waiting
2026-07-20T19:20:36+08:00 proxy down; waiting
2026-07-20T19:22:36+08:00 proxy down; waiting
2026-07-20T19:24:36+08:00 proxy down; waiting
2026-07-20T19:26:36+08:00 proxy down; waiting
2026-07-20T19:28:36+08:00 proxy down; waiting
2026-07-20T19:30:36+08:00 proxy down; waiting
2026-07-20T19:32:36+08:00 proxy down; waiting
2026-07-20T19:34:39+08:00 proxy OK; starting collapse probe
2026-07-20T21:21:31+08:00 collapse probe exited (0)
2026-07-20T21:23:31+08:00 proxy down; waiting
2026-07-20T21:25:31+08:00 proxy down; waiting
2026-07-20T21:27:31+08:00 proxy down; waiting
2026-07-20T21:29:31+08:00 proxy down; waiting
2026-07-20T21:31:31+08:00 proxy down; waiting
2026-07-20T21:33:31+08:00 proxy down; waiting
2026-07-20T21:35:31+08:00 proxy down; waiting
2026-07-20T21:37:31+08:00 proxy down; waiting
2026-07-20T21:39:31+08:00 proxy down; waiting
2026-07-20T21:41:31+08:00 proxy down; waiting
2026-07-20T21:43:31+08:00 proxy down; waiting
2026-07-20T21:45:31+08:00 proxy down; waiting
2026-07-20T21:47:31+08:00 proxy down; waiting
2026-07-20T21:49:31+08:00 proxy down; waiting
2026-07-20T21:51:32+08:00 proxy OK; starting collapse probe
2026-07-20T23:03:58+08:00 collapse probe exited (0)
2026-07-20T23:05:59+08:00 proxy down; waiting
2026-07-20T23:07:59+08:00 proxy down; waiting
2026-07-20T23:09:59+08:00 proxy down; waiting
2026-07-20T23:11:59+08:00 proxy down; waiting
2026-07-20T23:13:59+08:00 proxy down; waiting
2026-07-20T23:15:59+08:00 proxy down; waiting
2026-07-20T23:17:59+08:00 proxy down; waiting
2026-07-20T23:19:59+08:00 proxy down; waiting
2026-07-20T23:21:59+08:00 proxy down; waiting
2026-07-20T23:23:59+08:00 proxy down; waiting
2026-07-20T23:25:59+08:00 proxy down; waiting
2026-07-20T23:27:59+08:00 proxy down; waiting
2026-07-20T23:29:59+08:00 proxy down; waiting
2026-07-20T23:31:59+08:00 proxy down; waiting
2026-07-20T23:33:59+08:00 proxy down; waiting
2026-07-20T23:35:59+08:00 proxy down; waiting
2026-07-20T23:37:59+08:00 proxy down; waiting
2026-07-20T23:39:59+08:00 proxy down; waiting
2026-07-20T23:41:59+08:00 proxy down; waiting
2026-07-20T23:43:59+08:00 proxy down; waiting
2026-07-20T23:45:59+08:00 proxy down; waiting
2026-07-20T23:47:59+08:00 proxy down; waiting
2026-07-20T23:49:59+08:00 proxy down; waiting
2026-07-20T23:51:59+08:00 proxy down; waiting
2026-07-20T23:53:59+08:00 proxy down; waiting
2026-07-20T23:55:59+08:00 proxy down; waiting
2026-07-20T23:57:59+08:00 proxy down; waiting
2026-07-20T23:59:59+08:00 proxy down; waiting
2026-07-21T00:01:59+08:00 proxy down; waiting
2026-07-21T00:03:59+08:00 proxy down; waiting
2026-07-21T00:05:59+08:00 proxy down; waiting
2026-07-21T00:07:59+08:00 proxy down; waiting
2026-07-21T00:09:59+08:00 proxy down; waiting
2026-07-21T00:11:59+08:00 proxy down; waiting
2026-07-21T00:13:59+08:00 proxy down; waiting
2026-07-21T00:15:59+08:00 proxy down; waiting
2026-07-21T00:17:59+08:00 proxy down; waiting
2026-07-21T00:19:59+08:00 proxy down; waiting
2026-07-21T00:21:59+08:00 proxy down; waiting
2026-07-21T00:23:59+08:00 proxy down; waiting
2026-07-21T00:25:59+08:00 proxy down; waiting
2026-07-21T00:27:59+08:00 proxy down; waiting
2026-07-21T00:29:59+08:00 proxy down; waiting
2026-07-21T00:31:59+08:00 proxy down; waiting
2026-07-21T00:33:59+08:00 proxy down; waiting
2026-07-21T00:35:59+08:00 proxy down; waiting
2026-07-21T00:37:59+08:00 proxy down; waiting
2026-07-21T00:39:59+08:00 proxy down; waiting
2026-07-21T00:41:59+08:00 proxy down; waiting
2026-07-21T00:43:59+08:00 proxy down; waiting
2026-07-21T00:45:59+08:00 proxy down; waiting
2026-07-21T00:47:59+08:00 proxy down; waiting
2026-07-21T00:49:59+08:00 proxy down; waiting
2026-07-21T00:51:59+08:00 proxy down; waiting
2026-07-21T00:53:59+08:00 proxy down; waiting
2026-07-21T00:55:59+08:00 proxy down; waiting
2026-07-21T00:57:59+08:00 proxy down; waiting
2026-07-21T00:59:59+08:00 proxy down; waiting
2026-07-21T01:01:59+08:00 proxy down; waiting
2026-07-21T01:03:59+08:00 proxy down; waiting
2026-07-21T01:05:59+08:00 proxy down; waiting
2026-07-21T01:07:59+08:00 proxy down; waiting
2026-07-21T01:09:59+08:00 proxy down; waiting
2026-07-21T01:11:59+08:00 proxy down; waiting
2026-07-21T01:13:59+08:00 proxy down; waiting
2026-07-21T01:15:59+08:00 proxy down; waiting
2026-07-21T01:17:59+08:00 proxy down; waiting
2026-07-21T01:19:59+08:00 proxy down; waiting
2026-07-21T01:21:59+08:00 proxy down; waiting
2026-07-21T01:23:59+08:00 proxy down; waiting
2026-07-21T01:25:59+08:00 proxy down; waiting
2026-07-21T01:27:59+08:00 proxy down; waiting
2026-07-21T01:29:59+08:00 proxy down; waiting
2026-07-21T01:31:59+08:00 proxy down; waiting
2026-07-21T01:33:59+08:00 proxy down; waiting
2026-07-21T01:35:59+08:00 proxy down; waiting
2026-07-21T01:37:59+08:00 proxy down; waiting
2026-07-21T01:39:59+08:00 proxy down; waiting
2026-07-21T01:41:59+08:00 proxy down; waiting
2026-07-21T01:43:59+08:00 proxy down; waiting
2026-07-21T01:45:59+08:00 proxy down; waiting
2026-07-21T01:47:59+08:00 proxy down; waiting
2026-07-21T01:49:59+08:00 proxy down; waiting
2026-07-21T01:51:59+08:00 proxy down; waiting
2026-07-21T01:53:59+08:00 proxy down; waiting
2026-07-21T01:55:59+08:00 proxy down; waiting
2026-07-21T01:57:59+08:00 proxy down; waiting
2026-07-21T01:59:59+08:00 proxy down; waiting
2026-07-21T02:01:59+08:00 proxy down; waiting
2026-07-21T02:03:59+08:00 proxy down; waiting
2026-07-21T02:05:59+08:00 proxy down; waiting
2026-07-21T02:07:59+08:00 proxy down; waiting
2026-07-21T02:09:59+08:00 proxy down; waiting
2026-07-21T02:11:59+08:00 proxy down; waiting
2026-07-21T02:13:59+08:00 proxy down; waiting
2026-07-21T02:15:59+08:00 proxy down; waiting
2026-07-21T02:17:59+08:00 proxy down; waiting
2026-07-21T02:19:59+08:00 proxy down; waiting
2026-07-21T02:21:59+08:00 proxy down; waiting
2026-07-21T02:23:59+08:00 proxy down; waiting
2026-07-21T02:25:59+08:00 proxy down; waiting
2026-07-21T02:27:59+08:00 proxy down; waiting
2026-07-21T02:29:59+08:00 proxy down; waiting
2026-07-21T02:31:59+08:00 proxy down; waiting
2026-07-21T02:33:59+08:00 proxy down; waiting
2026-07-21T02:35:59+08:00 proxy down; waiting
2026-07-21T02:37:59+08:00 proxy down; waiting
2026-07-21T02:39:59+08:00 proxy down; waiting
2026-07-21T02:41:59+08:00 proxy down; waiting
2026-07-21T02:43:59+08:00 proxy down; waiting
2026-07-21T02:45:59+08:00 proxy down; waiting
2026-07-21T02:47:59+08:00 proxy down; waiting
2026-07-21T02:49:59+08:00 proxy down; waiting
2026-07-21T02:51:59+08:00 proxy down; waiting
2026-07-21T02:53:59+08:00 proxy down; waiting
2026-07-21T02:55:59+08:00 proxy down; waiting
2026-07-21T02:57:59+08:00 proxy down; waiting
2026-07-21T02:59:59+08:00 proxy down; waiting
2026-07-21T03:01:59+08:00 proxy down; waiting
2026-07-21T03:04:00+08:00 proxy down; waiting
2026-07-21T03:06:00+08:00 proxy down; waiting
2026-07-21T03:08:00+08:00 proxy down; waiting
2026-07-21T03:10:00+08:00 proxy down; waiting
2026-07-21T03:12:00+08:00 proxy down; waiting
2026-07-21T03:14:00+08:00 proxy down; waiting
2026-07-21T03:16:00+08:00 proxy down; waiting
2026-07-21T03:18:00+08:00 proxy down; waiting
2026-07-21T03:20:00+08:00 proxy down; waiting
2026-07-21T03:22:00+08:00 proxy down; waiting
2026-07-21T03:24:00+08:00 proxy down; waiting
2026-07-21T03:26:00+08:00 proxy down; waiting
2026-07-21T03:28:00+08:00 proxy down; waiting
2026-07-21T03:30:00+08:00 proxy down; waiting
2026-07-21T03:32:00+08:00 proxy down; waiting
2026-07-21T03:34:00+08:00 proxy down; waiting
2026-07-21T03:36:00+08:00 proxy down; waiting
2026-07-21T03:38:00+08:00 proxy down; waiting
2026-07-21T03:40:00+08:00 proxy down; waiting
2026-07-21T03:42:00+08:00 proxy down; waiting
2026-07-21T03:44:00+08:00 proxy down; waiting
2026-07-21T03:46:00+08:00 proxy down; waiting
2026-07-21T03:48:00+08:00 proxy down; waiting
2026-07-21T03:50:00+08:00 proxy down; waiting
2026-07-21T03:52:00+08:00 proxy down; waiting
2026-07-21T03:54:00+08:00 proxy down; waiting
2026-07-21T03:56:00+08:00 proxy down; waiting
2026-07-21T03:58:00+08:00 proxy down; waiting
2026-07-21T04:00:00+08:00 proxy down; waiting
2026-07-21T04:02:00+08:00 proxy down; waiting
2026-07-21T04:04:00+08:00 proxy down; waiting
2026-07-21T04:06:00+08:00 proxy down; waiting
2026-07-21T04:08:00+08:00 proxy down; waiting
2026-07-21T04:10:00+08:00 proxy down; waiting
2026-07-21T04:12:00+08:00 proxy down; waiting
2026-07-21T04:14:00+08:00 proxy down; waiting
2026-07-21T04:16:00+08:00 proxy down; waiting
2026-07-21T04:18:00+08:00 proxy down; waiting
2026-07-21T04:20:00+08:00 proxy down; waiting
2026-07-21T04:22:00+08:00 proxy down; waiting
2026-07-21T04:24:00+08:00 proxy down; waiting
2026-07-21T04:26:00+08:00 proxy down; waiting
2026-07-21T04:28:00+08:00 proxy down; waiting
2026-07-21T04:30:00+08:00 proxy down; waiting
2026-07-21T04:32:00+08:00 proxy down; waiting
2026-07-21T04:34:00+08:00 proxy down; waiting
2026-07-21T04:36:00+08:00 proxy down; waiting
2026-07-21T04:38:00+08:00 proxy down; waiting
2026-07-21T04:40:00+08:00 proxy down; waiting
2026-07-21T04:42:00+08:00 proxy down; waiting
2026-07-21T04:44:00+08:00 proxy down; waiting
2026-07-21T04:46:00+08:00 proxy down; waiting
2026-07-21T04:48:00+08:00 proxy down; waiting
2026-07-21T04:50:00+08:00 proxy down; waiting
2026-07-21T04:52:00+08:00 proxy down; waiting
2026-07-21T04:54:00+08:00 proxy down; waiting
2026-07-21T04:56:00+08:00 proxy down; waiting
2026-07-21T04:58:00+08:00 proxy down; waiting
2026-07-21T05:00:00+08:00 proxy down; waiting
2026-07-21T05:02:00+08:00 proxy down; waiting
2026-07-21T05:04:00+08:00 proxy down; waiting
2026-07-21T05:06:00+08:00 proxy down; waiting
2026-07-21T05:08:00+08:00 proxy down; waiting
2026-07-21T05:10:00+08:00 proxy down; waiting
2026-07-21T05:12:00+08:00 proxy down; waiting
2026-07-21T05:14:00+08:00 proxy down; waiting
2026-07-21T05:16:00+08:00 proxy down; waiting
2026-07-21T05:18:00+08:00 proxy down; waiting
2026-07-21T05:20:00+08:00 proxy down; waiting
2026-07-21T05:22:00+08:00 proxy down; waiting
2026-07-21T05:24:00+08:00 proxy down; waiting
2026-07-21T05:26:00+08:00 proxy down; waiting
2026-07-21T05:28:00+08:00 proxy down; waiting
2026-07-21T05:30:00+08:00 proxy down; waiting
2026-07-21T05:32:00+08:00 proxy down; waiting
2026-07-21T05:34:00+08:00 proxy down; waiting
2026-07-21T05:36:00+08:00 proxy down; waiting
2026-07-21T05:38:00+08:00 proxy down; waiting
2026-07-21T05:40:00+08:00 proxy down; waiting
2026-07-21T05:42:00+08:00 proxy down; waiting
2026-07-21T05:44:00+08:00 proxy down; waiting
2026-07-21T05:46:00+08:00 proxy down; waiting
2026-07-21T05:48:00+08:00 proxy down; waiting
2026-07-21T05:50:00+08:00 proxy down; waiting
