run,epoch,train_acc,test_acc,test_entropy_bits,collapse_bits,embedding_jump
head_facts,0,0.45,0.45,15.326522827148438,0.0,0.0
head_facts,1,0.45,0.45,15.326522827148438,0.0,0.0
head_facts,2,0.45,0.45,15.32652473449707,5.349627940631763e-07,0.0
head_facts,4,0.5,0.5,15.32659912109375,0.0011546288151293993,0.0
head_facts,8,0.55,0.55,15.326640129089355,0.02890094183385372,0.0
head_facts,16,0.45,0.45,15.295672416687012,0.26708343625068665,0.0
head_facts,32,0.6,0.6,14.98303508758545,0.7632699608802795,0.0
head_facts,64,0.45,0.45,14.263928413391113,1.5947422981262207,0.0
head_facts,128,0.55,0.55,13.155632019042969,2.78024959564209,0.0
head_facts,256,0.5,0.5,10.092774391174316,5.836195945739746,0.0
head_facts,512,0.6,0.6,8.613670349121094,7.221706390380859,0.0
head_facts,1000,0.6,0.6,8.276805877685547,7.7244415283203125,0.0
head_facts,2000,0.85,0.85,8.462309837341309,7.5512495040893555,0.0
head_facts,4000,0.95,0.95,8.309388160705566,7.584748268127441,0.0
head_facts,8000,0.95,0.95,7.713510036468506,8.030862808227539,0.0
head_facts,16000,0.9,0.9,7.945782661437988,7.90200662612915,0.0
head_facts,32000,1.0,1.0,7.80657434463501,7.923932075500488,0.0
head_facts,64000,1.0,1.0,7.582329750061035,8.221658706665039,0.0
head_facts,96000,0.95,0.95,7.713252067565918,8.125221252441406,0.0
head_facts,128000,0.9,0.9,7.9613494873046875,7.795658111572266,0.0
head_facts,143000,0.9,0.9,8.626699447631836,7.237565040588379,0.0
tail_facts,0,0.5185185185185185,0.5185185185185185,15.326152801513672,0.0,0.0
tail_facts,1,0.5185185185185185,0.5185185185185185,15.326152801513672,0.0,0.0
tail_facts,2,0.5185185185185185,0.5185185185185185,15.326155662536621,5.83886162530689e-07,0.0
tail_facts,4,0.4444444444444444,0.4444444444444444,15.326258659362793,0.0011889820452779531,0.0
tail_facts,8,0.4444444444444444,0.4444444444444444,15.326472282409668,0.029728053137660027,0.0
tail_facts,16,0.5555555555555556,0.5555555555555556,15.295287132263184,0.27310314774513245,0.0
tail_facts,32,0.4444444444444444,0.4444444444444444,14.987055778503418,0.7653746604919434,0.0
tail_facts,64,0.4444444444444444,0.4444444444444444,14.273882865905762,1.590872883796692,0.0
tail_facts,128,0.48148148148148145,0.48148148148148145,13.163322448730469,2.7771739959716797,0.0
tail_facts,256,0.48148148148148145,0.48148148148148145,9.99441909790039,5.960315227508545,0.0
tail_facts,512,0.37037037037037035,0.37037037037037035,8.459074974060059,7.386519432067871,0.0
tail_facts,1000,0.48148148148148145,0.48148148148148145,8.428584098815918,7.584551811218262,0.0
tail_facts,2000,0.6666666666666666,0.6666666666666666,8.510553359985352,7.515505790710449,0.0
tail_facts,4000,0.7407407407407407,0.7407407407407407,8.373228073120117,7.531753063201904,0.0
tail_facts,8000,0.8888888888888888,0.8888888888888888,7.787559986114502,7.983679294586182,0.0
tail_facts,16000,0.8888888888888888,0.8888888888888888,7.940447807312012,7.924800395965576,0.0
tail_facts,32000,0.8888888888888888,0.8888888888888888,7.727263450622559,8.021531105041504,0.0
tail_facts,64000,0.8888888888888888,0.8888888888888888,7.543360233306885,8.252519607543945,0.0
tail_facts,96000,0.9629629629629629,0.9629629629629629,7.625824928283691,8.186471939086914,0.0
tail_facts,128000,0.9259259259259259,0.9259259259259259,7.79870080947876,7.9483489990234375,0.0
tail_facts,143000,0.9259259259259259,0.9259259259259259,8.445160865783691,7.394725799560547,0.0
tail_words,0,0.4722222222222222,0.4722222222222222,15.328096389770508,0.0,0.0
tail_words,1,0.4722222222222222,0.4722222222222222,15.328096389770508,0.0,0.0
tail_words,2,0.4722222222222222,0.4722222222222222,15.328094482421875,6.685957032459555e-07,0.0
tail_words,4,0.4444444444444444,0.4444444444444444,15.327960968017578,0.0013050769921392202,0.0
tail_words,8,0.4722222222222222,0.4722222222222222,15.326854705810547,0.03290368989109993,0.0
tail_words,16,0.4722222222222222,0.4722222222222222,15.286839485168457,0.29391008615493774,0.0
tail_words,32,0.4722222222222222,0.4722222222222222,15.15151309967041,0.6350653767585754,0.0
tail_words,64,0.5,0.5,15.174355506896973,0.632782518863678,0.0
tail_words,128,0.5555555555555556,0.5555555555555556,14.294710159301758,1.585893988609314,0.0
tail_words,256,0.4722222222222222,0.4722222222222222,12.420149803161621,3.497025728225708,0.0
tail_words,512,0.5555555555555556,0.5555555555555556,11.493461608886719,4.427107810974121,0.0
tail_words,1000,0.6111111111111112,0.6111111111111112,10.441043853759766,5.512433052062988,0.0
tail_words,2000,0.6666666666666666,0.6666666666666666,10.044803619384766,5.894682884216309,0.0
tail_words,4000,0.75,0.75,9.525216102600098,6.436130523681641,0.0
tail_words,8000,0.75,0.75,9.542098999023438,6.422259330749512,0.0
tail_words,16000,0.75,0.75,9.657057762145996,6.295775413513184,0.0
tail_words,32000,0.75,0.75,9.319612503051758,6.6452836990356445,0.0
tail_words,64000,0.75,0.75,9.262443542480469,6.683650493621826,0.0
tail_words,96000,0.75,0.75,9.105113983154297,6.825019836425781,0.0
tail_words,128000,0.75,0.75,9.533971786499023,6.4265828132629395,0.0
tail_words,143000,0.7222222222222222,0.7222222222222222,9.58842945098877,6.378352642059326,0.0
