scale,seed,n_params,emb,hidden,train_acc,test_acc,collapse_bits,initial_entropy_bits,final_entropy_bits,correct_logprob_bits
0.04,1234,1538,3,10,0.30165815353393555,0.20127524435520172,2.115994691848755,6.571019172668457,4.5085673332214355,-3.9040610790252686
0.04,2345,1538,3,10,0.46981292963027954,0.33815088868141174,3.053558349609375,6.556554317474365,3.585388660430908,-2.87455677986145
0.05,1234,1922,3,13,0.3815901279449463,0.26397448778152466,2.461855411529541,6.575517177581787,4.164458751678467,-3.4896719455718994
0.05,2345,1922,3,13,0.774022102355957,0.6505844593048096,3.4356327056884766,6.5720696449279785,3.1916818618774414,-2.139092445373535
0.0625,1234,2453,4,16,0.7633928656578064,0.6605738401412964,4.375585079193115,6.57975959777832,2.2452855110168457,-1.5752465724945068
0.0625,2345,2453,4,16,0.7268282175064087,0.545377254486084,3.9611246585845947,6.567540168762207,2.6710691452026367,-2.0240366458892822
0.08,1234,3162,5,20,0.9959608912467957,0.982146680355072,5.261725425720215,6.5783209800720215,1.3603595495224,-0.5283213257789612
0.08,2345,3162,5,20,0.7974064350128174,0.6531349420547485,4.542110919952393,6.582052230834961,2.0770187377929688,-1.4931671619415283
0.1,1234,4241,6,26,1.0,1.0,6.439842224121094,6.579555034637451,0.18538327515125275,-0.030664412304759026
0.1,2345,4241,6,26,1.0,1.0,6.305881500244141,6.583944320678711,0.3138262927532196,-0.06283671408891678
0.125,1234,5577,8,32,1.0,1.0,6.5313849449157715,6.58146858215332,0.08781222999095917,-0.012913046404719353
0.125,2345,5577,8,32,1.0,1.0,6.537069797515869,6.587899208068848,0.0770094245672226,-0.010386458598077297
0.1875,1234,9469,12,48,1.0,1.0,6.576499938964844,6.590376377105713,0.03460925444960594,-0.0043317098170518875
0.1875,2345,9469,12,48,1.0,1.0,6.5708088874816895,6.5880351066589355,0.03878885135054588,-0.004912014584988356
0.25,1234,14129,16,64,1.0,1.0,6.586026191711426,6.588644981384277,0.0284732636064291,-0.003018922172486782
0.25,2345,14129,16,64,1.0,1.0,6.491730690002441,6.589747905731201,0.11723731458187103,-0.016600122675299644
0.5,1234,40449,32,128,1.0,1.0,6.608599662780762,6.588689804077148,0.005187921226024628,-0.0004883062792941928
0.5,2345,40449,32,128,1.0,1.0,6.603639602661133,6.5927205085754395,0.005090999882668257,-0.00043335315422154963
1.0,1234,129953,64,256,1.0,1.0,6.604671001434326,6.592954158782959,0.0012982854386791587,-9.853349183686078e-05
1.0,2345,129953,64,256,1.0,1.0,6.606224060058594,6.593274116516113,0.0014655243139714003,-0.00011595599062275141
