regime,mode,steps_after_trigger,stepwise_collapse_kl
pure_team,rescue,-3.0,0.0
pure_team,rescue,-2.0,0.0
pure_team,rescue,-1.0,0.0
pure_team,rescue,0.0,0.0
pure_team,rescue,1.0,0.0
pure_team,rescue,-7.0,0.732105311642676
pure_team,rescue,-6.0,0.7638063120529688
pure_team,rescue,-5.0,0.03242147769234485
pure_team,rescue,-4.0,0.0
pure_team,rescue,-3.0,0.0
pure_team,rescue,-2.0,0.0
pure_team,rescue,-1.0,0.0
pure_team,rescue,-8.0,0.0
pure_team,rescue,-7.0,0.0
pure_team,rescue,-6.0,0.0
pure_team,rescue,-5.0,0.732105311642676
pure_team,rescue,-4.0,0.03242147769234485
pure_team,rescue,-3.0,0.0
pure_team,rescue,-2.0,0.732105311642676
pure_team,rescue,-1.0,0.03242147769234485
pure_team,rescue,-6.0,0.0
pure_team,rescue,-5.0,0.0
pure_team,rescue,-4.0,0.0
pure_team,rescue,-3.0,0.0
pure_team,rescue,-2.0,0.0
pure_team,rescue,-1.0,0.0
pure_team,rescue,-5.0,0.732105311642676
pure_team,rescue,-4.0,0.03242147769234485
pure_team,rescue,-3.0,0.0
pure_team,rescue,-2.0,0.0
pure_team,rescue,-1.0,0.0
pure_team,rescue,-5.0,0.03242147769234485
pure_team,rescue,-4.0,0.0
pure_team,rescue,-3.0,0.0
pure_team,rescue,-2.0,0.0
pure_team,rescue,-1.0,0.0
pure_team,rescue,-7.0,0.7638063120529688
pure_team,rescue,-6.0,0.7638063120529688
pure_team,rescue,-5.0,0.03242147769234485
pure_team,rescue,-4.0,0.0
pure_team,rescue,-3.0,0.0
pure_team,rescue,-2.0,0.0
pure_team,rescue,-1.0,0.0
pure_team,rescue,-5.0,0.732105311642676
pure_team,rescue,-4.0,0.03242147769234485
pure_team,rescue,-3.0,0.0
pure_team,rescue,-2.0,0.0
pure_team,rescue,-1.0,0.0
pure_team,rescue,0.0,0.0
pure_team,rescue,-5.0,0.0
pure_team,rescue,-4.0,0.0
pure_team,rescue,-3.0,0.0
pure_team,rescue,-2.0,0.0
pure_team,rescue,-1.0,0.0
pure_team,rescue,-9.0,0.732105311642676
pure_team,rescue,-8.0,0.7638063120529688
pure_team,rescue,-7.0,0.03242147769234485
pure_team,rescue,-6.0,0.0
pure_team,rescue,-5.0,0.0
pure_team,rescue,-4.0,0.0
pure_team,rescue,-3.0,0.0
pure_team,rescue,-2.0,0.0
pure_team,rescue,-1.0,0.0
pure_team,rescue,-8.0,1.5093837643270966
pure_team,rescue,-7.0,0.06558834162750984
pure_team,rescue,-6.0,0.0
pure_team,rescue,-5.0,0.0
pure_team,rescue,-4.0,0.0
pure_team,rescue,-3.0,0.0
pure_team,rescue,-2.0,0.0
pure_team,rescue,-1.0,0.0
pure_team,rescue,-8.0,0.0
pure_team,rescue,-7.0,0.03242147769234485
pure_team,rescue,-6.0,0.0
pure_team,rescue,-5.0,0.0
pure_team,rescue,-4.0,0.0
pure_team,rescue,-3.0,0.0
pure_team,rescue,-2.0,0.0
pure_team,rescue,-1.0,0.0
pure_team,rescue,-7.0,0.0
pure_team,rescue,-6.0,0.732105311642676
pure_team,rescue,-5.0,0.03242147769234485
pure_team,rescue,-4.0,0.0
pure_team,rescue,-3.0,0.0
pure_team,rescue,-2.0,0.0
pure_team,rescue,-1.0,0.0
pure_team,rescue,-5.0,0.03242147769234485
pure_team,rescue,-4.0,0.0
pure_team,rescue,-3.0,1.4649393198840948
pure_team,rescue,-2.0,0.06558834162750984
pure_team,rescue,-1.0,0.0
pure_team,rescue,-8.0,0.0
pure_team,rescue,-7.0,0.0
pure_team,rescue,-6.0,0.732105311642676
pure_team,rescue,-5.0,0.03242147769234485
pure_team,rescue,-4.0,0.0
pure_team,rescue,-3.0,0.732105311642676
pure_team,rescue,-2.0,0.03242147769234485
pure_team,rescue,-1.0,0.0
pure_team,rescue,-7.0,1.4649393198840948
pure_team,rescue,-6.0,0.06558834162750984
pure_team,rescue,-5.0,0.0
pure_team,rescue,-4.0,0.0
pure_team,rescue,-3.0,0.0
pure_team,rescue,-2.0,0.0
pure_team,rescue,-1.0,0.0
pure_team,rescue,-5.0,0.0
